epcho,loss,acc
816,0.074879885,0.975
817,0.056692578,0.99375
818,0.0634315,0.990625
819,0.05302323,0.990625
820,0.0751409,0.978125
821,0.06442466,0.984375
822,0.059135575,0.99375
823,0.083636485,0.975
824,0.0674424,0.98125
825,0.062446,0.9875
826,0.061739903,0.99375
827,0.074157976,0.978125
828,0.0628764,0.9875
829,0.05646447,0.996875
830,0.053964216,0.99375
831,0.056081988,0.99375
832,0.07458874,0.984375
833,0.06759233,0.98125
834,0.06276854,0.98125
835,0.050639827,0.99375
836,0.05064273,0.990625
837,0.05574131,0.990625
838,0.061284147,0.9875
839,0.06327533,0.990625
840,0.049396016,0.9875
841,0.04793173,0.99375
842,0.06622057,0.98125
843,0.05852126,0.9875
844,0.06471986,0.978125
845,0.056224495,0.9875
846,0.051738344,0.9875
847,0.06068691,0.990625
848,0.055286117,0.9875
849,0.06660085,0.990625
850,0.061303258,0.98125
851,0.05554817,0.990625
852,0.047792815,0.99375
853,0.08313169,0.96875
854,0.054037966,0.984375
855,0.046120804,1.0
856,0.06242795,0.984375
857,0.05859558,0.990625
858,0.0599794,0.996875
859,0.050547022,0.996875
860,0.053269424,0.9875
861,0.040717963,0.99375
862,0.061921306,0.9875
863,0.048104703,0.99375
864,0.056437958,0.990625
865,0.052802615,0.98125
866,0.06823431,0.9875
867,0.07246591,0.98125
868,0.04788082,0.990625
869,0.05304291,0.9875
870,0.041949265,1.0
871,0.05103301,0.990625
872,0.05692482,0.975
873,0.045100342,0.996875
874,0.046214156,0.99375
875,0.04596042,0.984375
876,0.067300394,0.971875
877,0.06292044,0.984375
878,0.052478194,0.996875
879,0.045438927,0.996875
880,0.055465262,0.996875
881,0.050637048,0.996875
882,0.063805595,0.9875
883,0.058622994,0.990625
884,0.04464504,0.996875
885,0.051509727,0.9875
886,0.052770305,0.9875
887,0.04398851,0.990625
888,0.040643804,0.99375
889,0.035714656,0.99375
890,0.05582478,0.9875
891,0.04447844,0.996875
892,0.04383663,0.996875
893,0.04525451,0.99375
894,0.053283762,0.990625
895,0.059731483,0.984375
896,0.044165894,0.984375
897,0.07261685,0.975
898,0.04678143,0.984375
899,0.058041446,0.9875
900,0.058512498,0.9875
901,0.044639207,0.990625
902,0.049747616,0.99375
903,0.03960824,0.996875
904,0.03887854,1.0
905,0.0372419,0.996875
906,0.05113867,0.990625
907,0.036215376,0.990625
908,0.04037546,0.99375
909,0.06343794,0.990625
910,0.043046694,0.99375
911,0.03974099,1.0
912,0.052276887,0.9875
913,0.033872824,0.996875
914,0.033104774,1.0
915,0.033174403,1.0
916,0.04317955,0.99375
917,0.04656922,0.99375
918,0.058770977,0.9875
919,0.039416015,0.99375
920,0.04486193,0.99375
921,0.032580234,1.0
922,0.0443349,0.996875
923,0.056114227,0.9875
924,0.045309026,0.9875
925,0.045120873,0.990625
926,0.036153454,0.996875
